agency_cd,site_no,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no
USGS,11467000,RUSSIAN R A HACIENDA BRIDGE NR GUERNEVILLE CA,ST,383031.0,1225536.0,38.50848204,-122.9277345,M,F,NAD27,NAD83,6,6,97,US,  NESES26 T08N  R10W,,,22.33,X,0.16,NAVD88,18010110,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,1338.0,,PST,Y,,NNNNNNNN,,,,,,,
USGS,11467002,RUSSIAN R A JOHNSONS BEACH A GUERNEVILLE CA,ST,382958.0,1225950.0,38.49935758,-122.9983325,M,F,NAD27,NAD83,6,6,97,US,  NENWS32 T08N  R10W,CAMP MEEKER,24000.0,8.79,L,0.1,NGVD29,18010110,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,1353.0,,PST,Y,,NNNNNNNN,,,,,,,967760420
USGS,11467006,RUSSIAN R A VACATION BEACH CA,ST,382903.0,1230041.0,38.48408015,-123.0124997,M,F,NAD27,NAD83,6,6,97,US,,DUNCAN MILLS,24000.0,2.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,1371.0,,PST,Y,,NNNNNNNN,,,,,,,967760420
USGS,11467050,BIG AUSTIN C A CAZADERO CA,ST,383215.0,1230518.0,38.5374126,-123.0894468,M,F,NAD27,NAD83,6,6,97,US,,,,,,,,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,26.6,,PST,Y,,NNNNNNNN,,,,,,,
USGS,11467200,AUSTIN C NR CAZADERO CA,ST,383024.0,1230407.0,38.5065363,-123.0696826,M,S,NAD27,NAD83,6,6,97,US,  NESWS27 T08N  R11W,CAZADERO,24000.0,43.52,X,0.16,NAVD88,18010110,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,62.8,,PST,Y,,NNNNNNNN,,,,,,,967700102
USGS,11467210,RUSSIAN R A DUNCANS MILLS CA,ST,382713.0,1230254.0,38.45352525,-123.0494456,M,F,NAD27,NAD83,6,6,97,US,,,,,,,,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,1461.0,,PST,Y,,NNNNNNNN,,,,,,,
USGS,382701123025801,FREEZEOUT C NR DUNCANS MILLS CA,ST,382701.0,1230258.0,38.45027778,-123.0494444,G,U,NAD83,NAD83,6,6,97,US,,DUNCAN MILLS,24000.0,12.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,382713123030401,007N011W14NU01M,GW,382712.5,1230303.5,38.45347222,-123.05097222,G,5,NAD83,NAD83,6,6,97,US,L 2 S14 T007N R011W,"DUNCANS MILLS, CA",24000.0,8.0,N,4.3,NAVD88,180101100904,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20170505.0,,,PST,Y,C,YY   Y,,,,81.7,,S,GGMC200
USGS,382713123030403,007N011W14NU03M,GW,382712.5,1230303.5,38.45347222,-123.05097222,G,5,NAD83,NAD83,6,6,97,US,L 2 S14 T007N R011W,"DUNCANS MILLS, CA",24000.0,8.0,N,4.3,NAVD88,180101100904,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20170505.0,,,PST,Y,C,YY   Y,,,,32.56,,S,GGMC200
USGS,382752123003401,DUTCH BILL C A MONTE RIO CA,ST,382752.0,1230034.0,38.46444444,-123.0094444,G,U,NAD83,NAD83,6,6,97,US,,DUNCANS MILLS,24000.0,45.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,382754123030501,RUSSIAN R A CASINI RANCH NR DUNCANS MILLS CA,ST,382754.0,1230305.0,38.465,-123.0513889,G,F,NAD83,NAD83,6,6,97,US,,DUNCAN MILLS,24000.0,5.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,382757123003801,RUSSIAN R A MONTE RIO CA,ST,382757.0,1230038.0,38.4658333,-123.0105556,G,F,NAD83,NAD83,6,6,97,US,,DUNCAN MILLS,24000.0,5.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,382808122565401,007N010W10H001M,GW,382808.5,1225654.2,38.46902778,-122.9483889,G,5,NAD83,NAD83,6,6,97,US,  SENES10 T07N  R10W  M,"CAMP MEEKER, CA",24000.0,211.0,N,1.6,NAVD88,18010110,,S,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19840608.0,20120516.0,,,PST,Y,C,YY   Y,,,,22.0,22.0,D,00BHM8187
USGS,382815123024601,AUSTIN C NR DUNCANS MILLS CA,ST,382815.0,1230246.0,38.4708333,-123.046111,G,U,NAD83,NAD83,6,6,97,US,,DUNCANS MILLS,24000.0,23.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,382819123010001,007N010W07D001M,GW,382819.9,1230100.8,38.47219444,-123.0168889,G,5,NAD83,NAD83,6,6,97,US,      S07 T07N  R10W  M,"DUNCANS MILLS, CA",24000.0,42.0,N,1.6,NAVD88,18010110,,V,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19941103.0,20040913.0,,,PST,Y,C,YY,N100CACSTL,,,99.0,110.0,D,9677BHM32
USGS,382944123002901,HULBERT C NR GUERNEVILLE CA,ST,382944.0,1230029.0,38.49555556,-123.0080556,G,U,NAD83,NAD83,6,6,97,US,,DUNCANS MILLS,24000.0,30.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,382955122594101,POCKET CYN C A GUERNEVILLE CA,ST,382955.0,1225941.0,38.4986111,-122.9947222,G,U,NAD83,NAD83,6,6,97,US,,CAMP MEEKER,24000.0,44.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,383001122540701,008N009W31C002M,GW,383001.9,1225407.7,38.50052778,-122.9021389,G,5,NAD83,NAD83,6,6,97,US,      S00 T08N  R09W  M,"GUERNEVILLE, CA",24000.0,58.0,N,1.6,NAVD88,18010110,,V,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19860930.0,20040913.0,,,PST,Y,C,YY,N100CACSTL,,,80.0,80.0,D,9677BHM32
USGS,383003122540401,008N009W31C003M,GW,383003.3,1225404.4,38.50091667,-122.9012222,G,1,NAD83,NAD83,6,6,97,US,      S00 T08N  R09W  M,"GUERNEVILLE, CA",24000.0,48.0,N,1.6,NAVD88,18010110,,G,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20040916.0,,,PST,Y,C,YY   Y,N100CACSTL,,,,,,967760420
USGS,383003122540402,008N009W31C004M,GW,383003.3,1225404.4,38.50091667,-122.9012222,G,1,NAD83,NAD83,6,6,97,US,      S00 T08N  R09W  M,"GUERNEVILLE, CA",24000.0,48.0,N,1.6,NAVD88,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20040916.0,,,PST,Y,C,Y,N100CACSTL,,,,,,967760420
USGS,383003122540403,008N009W31C005M,GW,383003.3,1225404.4,38.50091667,-122.9012222,G,1,NAD83,NAD83,6,6,97,US,      S00 T08N  R09W  M,"GUERNEVILLE, CA",24000.0,48.0,N,1.6,NAVD88,18010110,,G,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20040916.0,,,PST,Y,C,YY   Y,N100CACSTL,,,25.0,,S,967760420
USGS,383006123000601,FIFE C A GUERNEVILLE CA,ST,383006.0,1230006.0,38.50166667,-123.0016667,G,U,NAD83,NAD83,6,6,97,US,,CAZADERO,24000.0,46.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,383009122543001,GREEN VALLEY C NR MIRABEL HEIGHTS CA,ST,383009.0,1225430.0,38.5025,-122.9083333,G,U,NAD83,NAD83,6,6,97,US,,GUERNEVILLE,24000.0,71.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,383012122574501,RUSSIAN R A ODD FELLOWS PARK NR RIO NIDO CA,ST,383012.0,1225745.0,38.5033333,-122.9625,G,F,NAD83,NAD83,6,6,97,US,,GUERNEVILLE,24000.0,40.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,383016123041101,008N011W27N001M,GW,383016.3,1230411.0,38.50452778,-123.0697222,G,5,NAD83,NAD83,6,6,97,US,      S27 T08N  R11W  M,"CAZADERO, CA",24000.0,63.0,N,1.6,NAVD88,18010110,,U,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19840625.0,20120719.0,,,PST,Y,C,YY   Y,,,,30.0,30.0,D,00BHM8187
USGS,383017122580301,008N010W28RU01M,GW,383017.4,1225802.5,38.50483333,-122.96736111,G,5,NAD83,NAD83,6,6,97,US,SESES28 T08N  R10W  M,"GUERNEVILLE, CA",24000.0,45.0,N,4.3,NAVD88,180101100903,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19830926.0,20170504.0,,,PST,Y,C,YY,,,,98.0,107.0,D,
USGS,383028122554501,HOBSON C NR HACIENDA CA,ST,383028.0,1225545.0,38.50777778,-122.9291667,G,U,NAD83,NAD83,6,6,97,US,,GUERNEVILLE,24000.0,60.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,383034122590701,008N010W29H004M,GW,383034.4,1225907.9,38.50955556,-122.9855278,G,5,NAD83,NAD83,6,6,97,US,  SENES29 T08N  R10W  M,"GUERNEVILLE, CA",24000.0,43.0,N,1.6,NAVD88,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19941201.0,20040913.0,,,PST,Y,C,YY   Y,N100CACSTL,,,99.0,110.0,D,9677BHM32
